iter	MultiClass
0	1.080669478
1	1.063568019
2	1.048325413
3	1.033999249
4	1.020441152
5	1.008885507
6	0.9987395051
7	0.9884811754
8	0.9785237449
9	0.9696609932
10	0.9608599764
11	0.9528619889
12	0.9458633057
13	0.9394557936
14	0.9335400392
15	0.9287723678
16	0.9226784004
17	0.9178240247
18	0.9130249233
19	0.9082483516
20	0.904090447
21	0.8998214034
22	0.8962797006
23	0.8928424191
24	0.8899533778
25	0.8866450446
26	0.8832656705
27	0.8811255162
28	0.8776127038
29	0.8752490757
30	0.8733076803
31	0.8711408175
32	0.8686081193
33	0.8664804539
34	0.8643449224
35	0.8617925158
36	0.8592959912
37	0.857108494
38	0.8555336683
39	0.8539348911
40	0.852768895
41	0.8512796304
42	0.8495271146
43	0.8474458367
44	0.8459152528
45	0.8446847977
46	0.8433677757
47	0.842503912
48	0.8408850637
49	0.8395973469
50	0.8384803213
51	0.8370509726
52	0.8355817859
53	0.8341400608
54	0.8335511037
55	0.832436457
56	0.8313548549
57	0.830357347
58	0.8295529803
59	0.8286985777
60	0.8275279556
61	0.8264668329
62	0.8256595418
63	0.8247778169
64	0.82356077
65	0.8226686312
66	0.821618677
67	0.8208152359
68	0.8201087332
69	0.8193145586
70	0.8185815962
71	0.8180431049
72	0.8174443325
73	0.8168655438
74	0.8159264264
75	0.8153204075
76	0.814518072
77	0.8136409447
78	0.8132153932
79	0.8126445573
80	0.8117187471
81	0.8108996374
82	0.810583184
83	0.8100689768
84	0.8092515214
85	0.8088478172
86	0.8080967704
87	0.8076619557
88	0.8071102858
89	0.8064745551
90	0.8059039399
91	0.805358568
92	0.8046499642
93	0.8043226346
94	0.8039583832
95	0.803817039
96	0.8036194473
97	0.8030397645
98	0.8026920777
99	0.8022388672
100	0.8017294438
101	0.8014490581
102	0.8011850442
103	0.8008066707
104	0.800335556
105	0.8000240212
106	0.799646367
107	0.7994104038
108	0.7991836554
109	0.7987874047
110	0.7982011632
111	0.7980225477
112	0.7976348072
113	0.7971250831
114	0.7968255843
115	0.7965399775
116	0.796193676
117	0.7960273816
118	0.7957256886
119	0.7954490564
120	0.7950260155
121	0.7946493985
122	0.7942194746
123	0.7941165043
124	0.793621206
125	0.793488794
126	0.793281474
127	0.7930086678
128	0.7926529415
129	0.7924623993
130	0.7923216262
131	0.7920117254
132	0.7915621471
133	0.7912811838
134	0.7910534733
135	0.7906955119
136	0.7905144462
137	0.7904875913
138	0.7902027071
139	0.7900858479
140	0.7897276174
141	0.7895415838
142	0.7891876417
143	0.7890391375
144	0.7888237908
145	0.7886048989
146	0.7883628148
147	0.7881843032
148	0.7878789821
149	0.7876165354
150	0.7874078507
151	0.787171781
152	0.786877093
153	0.7867776828
154	0.7863091045
155	0.7860406748
156	0.7859319136
157	0.7858250301
158	0.7857397669
159	0.7856406869
160	0.7855591893
161	0.7853635147
162	0.7851149502
163	0.7849266256
164	0.7848796757
165	0.7846302581
166	0.7843918703
167	0.7842786902
168	0.7840314006
169	0.7839082749
170	0.7837910156
171	0.7835939352
172	0.7834800625
173	0.78325851
174	0.7831679041
175	0.7829583455
176	0.7828080395
177	0.7825594511
178	0.7824574333
179	0.7822023165
180	0.7820624694
181	0.7817950446
182	0.7815427842
183	0.7814267592
184	0.7811972637
185	0.7810893037
186	0.7809373419
187	0.7807082942
188	0.7805308536
189	0.7802329168
190	0.7800604445
191	0.7798906037
192	0.7796622703
193	0.7795889605
194	0.7793803497
195	0.7792377207
196	0.7791532483
197	0.7788958479
198	0.7786915493
199	0.7784691384
200	0.7783266212
201	0.7780002647
202	0.777814483
203	0.7775095782
204	0.7772817999
205	0.7771213494
206	0.7769723925
207	0.7769352665
208	0.7767732821
209	0.7764591976
210	0.7763070858
211	0.7761395893
212	0.7760456476
213	0.7759176836
214	0.7757181737
215	0.7755884463
216	0.7754108718
217	0.7753739594
218	0.7751622951
219	0.7750285871
220	0.7748920075
221	0.774723311
222	0.7745659061
223	0.7743081047
224	0.7740490079
225	0.7738758439
226	0.7736782415
227	0.773513707
228	0.7734026436
229	0.7732157849
230	0.7730042868
231	0.772794213
232	0.7726304946
233	0.7724520955
234	0.7722729891
235	0.7721705313
236	0.7719903845
237	0.7717844698
238	0.7716934335
239	0.7715037071
240	0.7713459465
241	0.7711477684
242	0.7710049946
243	0.7708585948
244	0.7706934102
245	0.7705770813
246	0.7703925193
247	0.7702230853
248	0.7700437643
249	0.7697836856
250	0.7696427974
251	0.7694276922
252	0.7692470121
253	0.7691454484
254	0.7690482681
255	0.7689043741
256	0.7687140146
257	0.7686397767
258	0.7684513731
259	0.7683205143
260	0.7682337963
261	0.7681279938
262	0.7680735418
263	0.7680303407
264	0.7679203588
265	0.7676801224
266	0.7676210794
267	0.7675236058
268	0.7674196607
269	0.7672969537
270	0.7670876195
271	0.7669942009
272	0.7669606763
273	0.7668833295
274	0.7667673827
275	0.7666455985
276	0.7665430527
277	0.7663949385
278	0.7662682045
279	0.76621797
280	0.7661348452
281	0.7660504015
282	0.7659264894
283	0.765707177
284	0.7655631097
285	0.765417163
286	0.765214604
287	0.7651233928
288	0.7649644207
289	0.7647869384
290	0.7647103281
291	0.7646110588
292	0.7644553486
293	0.7643566592
294	0.7642524432
295	0.764197002
296	0.7641427781
297	0.7639755117
298	0.7638194056
299	0.7637840517
300	0.763615017
301	0.7634939667
302	0.7634288877
303	0.7633958809
304	0.7633351674
305	0.7632435178
306	0.7631881907
