iter	Passed	Remaining
0	39	31282
1	75	30139
2	117	31165
3	153	30595
4	199	31664
5	257	34082
6	330	37431
7	392	38809
8	445	39169
9	492	38907
10	574	41223
11	671	44121
12	774	46911
13	890	50010
14	971	50818
15	1036	50774
16	1087	50109
17	1136	49386
18	1182	48614
19	1223	47735
20	1268	47064
21	1306	46202
22	1342	45369
23	1383	44726
24	1421	44080
25	1463	43571
26	1501	42999
27	1540	42467
28	1581	42047
29	1626	41750
30	1665	41315
31	1701	40837
32	1740	40451
33	1778	40066
34	1818	39745
35	1855	39380
36	1892	39035
37	1931	38729
38	1970	38450
39	2009	38188
40	2083	38573
41	2131	38461
42	2177	38334
43	2227	38276
44	2273	38150
45	2313	37924
46	2351	37675
47	2394	37510
48	2431	37272
49	2474	37122
50	2512	36896
51	2549	36675
52	2586	36459
53	2635	36405
54	2674	36231
55	2710	36008
56	2746	35806
57	2784	35617
58	2822	35447
59	2858	35256
60	2896	35090
61	2934	34935
62	2974	34801
63	3013	34657
64	3050	34499
65	3090	34374
66	3128	34224
67	3165	34071
68	3204	33947
69	3240	33795
70	3279	33677
71	3316	33537
72	3355	33413
73	3394	33298
74	3430	33160
75	3467	33028
76	3510	32963
77	3556	32916
78	3603	32886
79	3641	32770
80	3678	32648
81	3717	32552
82	3755	32444
83	3805	32434
84	3844	32336
85	3883	32244
86	3923	32153
87	3961	32050
88	4001	31965
89	4049	31948
90	4088	31851
91	4125	31749
92	4167	31684
93	4204	31578
94	4243	31488
95	4280	31393
96	4317	31292
97	4354	31192
98	4392	31103
99	4431	31021
100	4469	30930
101	4507	30843
102	4550	30795
103	4591	30727
104	4630	30650
105	4667	30556
106	4704	30467
107	4748	30423
108	4785	30334
109	4820	30240
110	4859	30164
111	4895	30075
112	4937	30016
113	4974	29934
114	5013	29863
115	5050	29779
116	5086	29694
117	5122	29605
118	5159	29527
119	5196	29448
120	5234	29372
121	5269	29286
122	5309	29222
123	5344	29138
124	5383	29069
125	5421	28999
126	5457	28922
127	5495	28852
128	5537	28803
129	5578	28752
130	5622	28711
131	5663	28660
132	5703	28604
133	5741	28538
134	5779	28467
135	5815	28392
136	5855	28336
137	5890	28256
138	5931	28206
139	5967	28130
140	6004	28063
141	6041	27993
142	6078	27925
143	6113	27852
144	6152	27791
145	6189	27725
146	6226	27660
147	6264	27596
148	6302	27538
149	6339	27471
150	6378	27414
151	6416	27354
152	6454	27293
153	6493	27237
154	6530	27174
155	6575	27144
156	6621	27120
157	6660	27062
158	6698	27005
159	6735	26940
160	6781	26914
161	6817	26848
162	6857	26797
163	6892	26728
164	6930	26670
165	6968	26612
166	7006	26557
167	7042	26493
168	7086	26459
169	7139	26456
170	7176	26396
171	7217	26353
172	7255	26297
173	7294	26245
174	7340	26216
175	7379	26162
176	7416	26105
177	7455	26051
178	7493	25998
179	7531	25943
180	7570	25890
181	7609	25837
182	7649	25791
183	7687	25735
184	7727	25687
185	7764	25630
186	7798	25563
187	7832	25498
188	7870	25444
189	7906	25385
190	7944	25329
191	7981	25273
192	8021	25227
193	8059	25174
194	8096	25120
195	8133	25065
196	8170	25009
197	8208	24957
198	8245	24903
199	8283	24850
200	8320	24795
201	8360	24748
202	8398	24698
203	8437	24650
204	8475	24599
205	8511	24544
206	8571	24554
207	8607	24497
208	8642	24440
209	8679	24386
210	8719	24341
211	8757	24289
212	8792	24230
213	8830	24179
214	8868	24129
215	8905	24078
216	8941	24023
217	8979	23971
218	9022	23936
219	9059	23883
220	9095	23829
221	9135	23784
222	9171	23730
223	9209	23681
224	9246	23630
225	9285	23583
226	9322	23533
227	9362	23488
228	9400	23439
229	9439	23394
230	9477	23344
231	9516	23297
232	9554	23251
233	9590	23198
234	9631	23156
235	9669	23107
